timestamp,event_id,message,source,semantic_outlier_score,semantic_severity_score,cluster_id,semantic_category,pca_x,pca_y
2026-02-17 22:30:52,5058,"('S-1-5-18', 'BOOK-ERHUGOH353$', 'WORKGROUP', '0x3e7', '25648', '2026-02-17T17:00:52.3926595Z', 'Microsoft Software Key Storage Provider', 'UNKNOWN', 'Google Chromekey1', '%%2500', 'C:\\ProgramData\\Microsoft\\Crypto\\SystemKeys\\7096db7aeb75c0d3497ecd56d355a695_dda81327-f613-4916-b713-0975252c8115', '%%2458', '0x0')",windows,0.42769393,1.0,4,Authentication,0.13101043,0.2253769
2026-02-17 22:32:30,5058,"('S-1-5-21-2145945805-938529965-3915870641-1001', 'shrii', 'BOOK-ERHUGOH353', '0x31d496a', '16852', '2026-02-17T17:02:21.8792261Z', 'Microsoft Software Key Storage Provider', 'UNKNOWN', 'ChromeMetricsTestKey', '%%2500', 'C:\\Users\\shris\\AppData\\Roaming\\Microsoft\\Crypto\\Keys\\1e313dfb17707690d41bc1ce552b952a_dda81327-f613-4916-b713-0975252c8115', '%%2458', '0x0')",windows,0.3878847,0.86172265,4,Authentication,0.023580002,0.2824105
2026-02-17 22:31:57,5058,"('S-1-5-21-2145945805-938529965-3915870641-1001', 'shrii', 'BOOK-ERHUGOH353', '0x31d496a', '19916', '2026-02-17T17:01:56.2498358Z', 'Microsoft Software Key Storage Provider', 'UNKNOWN', 'ChromeMetricsTestKey', '%%2500', 'C:\\Users\\shris\\AppData\\Roaming\\Microsoft\\Crypto\\Keys\\1e313dfb17707690d41bc1ce552b952a_dda81327-f613-4916-b713-0975252c8115', '%%2458', '0x0')",windows,0.37812686,0.9175279,4,Authentication,0.030205315,0.28012154
2026-02-17 22:29:53,5058,"('S-1-5-21-2145945805-938529965-3915870641-1001', 'shrii', 'BOOK-ERHUGOH353', '0x31d496a', '25012', '2026-02-17T16:59:44.5579134Z', 'Microsoft Software Key Storage Provider', 'UNKNOWN', 'ChromeMetricsTestKey', '%%2500', 'C:\\Users\\shris\\AppData\\Roaming\\Microsoft\\Crypto\\Keys\\1e313dfb17707690d41bc1ce552b952a_dda81327-f613-4916-b713-0975252c8115', '%%2458', '0x0')",windows,0.37384334,0.87909067,4,Authentication,0.026220238,0.28671443
2026-02-17 22:36:05,5058,"('S-1-5-21-2145945805-938529965-3915870641-1001', 'shrii', 'BOOK-ERHUGOH353', '0x31d496a', '21104', '2026-02-17T17:05:04.3220790Z', 'Microsoft Software Key Storage Provider', 'UNKNOWN', 'ChromeMetricsTestKey', '%%2500', 'C:\\Users\\shris\\AppData\\Roaming\\Microsoft\\Crypto\\Keys\\1e313dfb17707690d41bc1ce552b952a_dda81327-f613-4916-b713-0975252c8115', '%%2458', '0x0')",windows,0.36713904,0.8934692,4,Authentication,0.032645155,0.29256058
2026-02-17 22:30:56,5058,"('S-1-5-21-2145945805-938529965-3915870641-1001', 'shrii', 'BOOK-ERHUGOH353', '0x31d496a', '16788', '2026-02-17T17:00:51.9752668Z', 'Microsoft Software Key Storage Provider', 'UNKNOWN', 'ChromeMetricsTestKey', '%%2500', 'C:\\Users\\shris\\AppData\\Roaming\\Microsoft\\Crypto\\Keys\\1e313dfb17707690d41bc1ce552b952a_dda81327-f613-4916-b713-0975252c8115', '%%2458', '0x0')",windows,0.3650236,0.88714004,4,Authentication,0.028479934,0.27768818
2026-02-17 22:30:49,5058,"('S-1-5-21-2145945805-938529965-3915870641-1001', 'shrii', 'BOOK-ERHUGOH353', '0x31d496a', '5292', '2026-02-17T17:00:46.4982105Z', 'Microsoft Software Key Storage Provider', 'UNKNOWN', 'ChromeMetricsTestKey', '%%2500', 'C:\\Users\\shris\\AppData\\Roaming\\Microsoft\\Crypto\\Keys\\1e313dfb17707690d41bc1ce552b952a_dda81327-f613-4916-b713-0975252c8115', '%%2458', '0x0')",windows,0.36262506,0.9364498,4,Authentication,0.022500606,0.29110137
2026-02-17 22:32:30,5058,"('S-1-5-21-2145945805-938529965-3915870641-1001', 'shrii', 'BOOK-ERHUGOH353', '0x31d496a', '16852', '2026-02-17T17:02:21.8792261Z', 'Microsoft Software Key Storage Provider', 'ECDSA_P256', 'ChromeMetricsTestKey', '%%2500', 'C:\\Users\\shris\\AppData\\Roaming\\Microsoft\\Crypto\\Keys\\1e313dfb17707690d41bc1ce552b952a_dda81327-f613-4916-b713-0975252c8115', '%%2457', '0x0')",windows,0.36071676,0.78407234,4,Authentication,0.030552812,0.31740668
2026-02-17 22:32:30,5058,"('S-1-5-21-2145945805-938529965-3915870641-1001', 'shrii', 'BOOK-ERHUGOH353', '0x31d496a', '16852', '2026-02-17T17:02:21.8792261Z', 'Microsoft Software Key Storage Provider', 'ECDSA_P256', 'ChromeMetricsTestKey', '%%2500', 'C:\\Users\\shris\\AppData\\Roaming\\Microsoft\\Crypto\\Keys\\1e313dfb17707690d41bc1ce552b952a_dda81327-f613-4916-b713-0975252c8115', '%%2459', '0x0')",windows,0.36055806,0.78008884,4,Authentication,0.030444372,0.3178296
2026-02-17 22:51:29,5379,"('S-1-5-21-2145945805-938529965-3915870641-1001', 'shrii', 'BOOK-ERHUGOH353', '0x31d48b5', 'MicrosoftAccount:user=02bfkxkihmbijtqu', '0', '0', '%%8100', '3221225567', '2026-02-16T09:11:37.6891755Z', '10016')",windows,0.34887764,0.4064884,1,Authentication,-0.19637442,-0.05427295
2026-02-17 22:43:12,4798,"('DefaultAccount', 'BOOK-ERHUGOH353', 'S-1-5-21-2145945805-938529965-3915870641-503', 'S-1-5-18', 'BOOK-ERHUGOH353$', 'WORKGROUP', '0x3e7', '0x58f0', 'C:\\Windows\\System32\\taskhostw.exe')",windows,0.34658685,0.19676918,5,File Access,0.5514739,0.0012070994
2026-02-17 22:29:53,5058,"('S-1-5-21-2145945805-938529965-3915870641-1001', 'shrii', 'BOOK-ERHUGOH353', '0x31d496a', '25012', '2026-02-17T16:59:44.5579134Z', 'Microsoft Software Key Storage Provider', 'ECDSA_P256', 'ChromeMetricsTestKey', '%%2500', 'C:\\Users\\shris\\AppData\\Roaming\\Microsoft\\Crypto\\Keys\\1e313dfb17707690d41bc1ce552b952a_dda81327-f613-4916-b713-0975252c8115', '%%2459', '0x0')",windows,0.34643096,0.7678502,4,Authentication,0.032534335,0.32208395
2026-02-17 22:29:53,5058,"('S-1-5-21-2145945805-938529965-3915870641-1001', 'shrii', 'BOOK-ERHUGOH353', '0x31d496a', '25012', '2026-02-17T16:59:44.5579134Z', 'Microsoft Software Key Storage Provider', 'ECDSA_P256', 'ChromeMetricsTestKey', '%%2500', 'C:\\Users\\shris\\AppData\\Roaming\\Microsoft\\Crypto\\Keys\\1e313dfb17707690d41bc1ce552b952a_dda81327-f613-4916-b713-0975252c8115', '%%2457', '0x0')",windows,0.34637836,0.77225673,4,Authentication,0.032655098,0.3216007
2026-02-17 22:31:57,5058,"('S-1-5-21-2145945805-938529965-3915870641-1001', 'shrii', 'BOOK-ERHUGOH353', '0x31d496a', '19916', '2026-02-17T17:01:56.2498358Z', 'Microsoft Software Key Storage Provider', 'ECDSA_P256', 'ChromeMetricsTestKey', '%%2500', 'C:\\Users\\shris\\AppData\\Roaming\\Microsoft\\Crypto\\Keys\\1e313dfb17707690d41bc1ce552b952a_dda81327-f613-4916-b713-0975252c8115', '%%2459', '0x0')",windows,0.34540156,0.73482156,4,Authentication,0.039105576,0.31255394
2026-02-17 22:31:57,5058,"('S-1-5-21-2145945805-938529965-3915870641-1001', 'shrii', 'BOOK-ERHUGOH353', '0x31d496a', '19916', '2026-02-17T17:01:56.2498358Z', 'Microsoft Software Key Storage Provider', 'ECDSA_P256', 'ChromeMetricsTestKey', '%%2500', 'C:\\Users\\shris\\AppData\\Roaming\\Microsoft\\Crypto\\Keys\\1e313dfb17707690d41bc1ce552b952a_dda81327-f613-4916-b713-0975252c8115', '%%2457', '0x0')",windows,0.34495953,0.7394668,4,Authentication,0.03958172,0.31187806
2026-02-17 22:30:49,5058,"('S-1-5-21-2145945805-938529965-3915870641-1001', 'shrii', 'BOOK-ERHUGOH353', '0x31d496a', '5292', '2026-02-17T17:00:46.4982105Z', 'Microsoft Software Key Storage Provider', 'ECDSA_P256', 'ChromeMetricsTestKey', '%%2500', 'C:\\Users\\shris\\AppData\\Roaming\\Microsoft\\Crypto\\Keys\\1e313dfb17707690d41bc1ce552b952a_dda81327-f613-4916-b713-0975252c8115', '%%2457', '0x0')",windows,0.34362298,0.7383949,4,Authentication,0.043145202,0.30653873
2026-02-17 22:30:49,5058,"('S-1-5-21-2145945805-938529965-3915870641-1001', 'shrii', 'BOOK-ERHUGOH353', '0x31d496a', '5292', '2026-02-17T17:00:46.4982105Z', 'Microsoft Software Key Storage Provider', 'ECDSA_P256', 'ChromeMetricsTestKey', '%%2500', 'C:\\Users\\shris\\AppData\\Roaming\\Microsoft\\Crypto\\Keys\\1e313dfb17707690d41bc1ce552b952a_dda81327-f613-4916-b713-0975252c8115', '%%2459', '0x0')",windows,0.343506,0.7346068,4,Authentication,0.04274811,0.30720657
2026-02-17 22:30:03,5379,"('S-1-5-21-2145945805-938529965-3915870641-1001', 'shrii', 'BOOK-ERHUGOH353', '0x31d496a', 'MicrosoftAccount:user=02bfkxkihmbijtqu', '0', '0', '%%8100', '3221226021', '2026-02-16T09:11:37.6891755Z', '10016')",windows,0.34199396,0.45118403,1,Authentication,-0.20135166,-0.056531116
2026-02-17 22:29:48,5379,"('S-1-5-21-2145945805-938529965-3915870641-1001', 'shrii', 'BOOK-ERHUGOH353', '0x31d496a', 'MicrosoftAccount:user=02bfkxkihmbijtqu', '0', '0', '%%8100', '3221226021', '2026-02-16T09:11:37.6891755Z', '10016')",windows,0.34199396,0.45118403,1,Authentication,-0.20135166,-0.056531116
2026-02-17 22:30:04,5379,"('S-1-5-21-2145945805-938529965-3915870641-1001', 'shrii', 'BOOK-ERHUGOH353', '0x31d496a', 'MicrosoftAccount:user=02bfkxkihmbijtqu', '0', '0', '%%8100', '3221226021', '2026-02-16T09:11:37.6891755Z', '10016')",windows,0.34199396,0.45118403,1,Authentication,-0.20135166,-0.056531116
